Contas Contábeis;Valores;Mês;;;
Ativo Total;7836413,04;JULHO;;;
Ativo Circulante;1417377,98;JULHO;;;
Caixa;0,00;JULHO;;;
Caixa Administrativo;0,00;JULHO;;;
Banco c/Movimento;55391,39;JULHO;;;
Banco Bradesco;55057,36;JULHO;;;
Banco do Nordeste;334,03;JULHO;;;
Aplicação Financeira;581170,00;JULHO;;;
Banco Bradesco;581170,00;JULHO;;;
Banco do Nordeste;0,00;JULHO;;;
Contas a Receber;0,00;JULHO;;;
Cliente A;;JULHO;;;
Cliente B;;JULHO;;;
Cliente C;;JULHO;;;
Cliente D;;JULHO;;;
Estoque para Venda;771917,72;JULHO;;;
Bezerros - 0 a 12 Meses - Fazenda Escarlata;99899,92;JULHO;;;
Novilhos - 13 a 24 meses - Fazenda Escarlata;;JULHO;;;
Bezerras - 0 a 12 Meses - Fazenda Escarlata;;JULHO;;;
Novilhas - 13 a 24 meses - Fazenda Escarlata;;JULHO;;;
Vacas para Venda - Fazenda Escarlata;;JULHO;;;
Vacas para Venda - Fazenda Arianus II;636000,00;JULHO;;;
Bezerros - 0 a 12 Meses - Fazenda Arianus II;18523,44;JULHO;;;
Bezerras - 0 a 12 Meses - Fazenda Arianus II;17494,36;JULHO;;;
Estoque Operacional;0,00;JULHO;;;
Raçoes;;JULHO;;;
Medicamentos Veterinários;;JULHO;;;
Reproducao Animal;;JULHO;;;
Herbicidas;;JULHO;;;
Sementes;;JULHO;;;
Consorcio a Receber;8898,87;JULHO;;;
Consorcio Nacional Valtra;8898,87;JULHO;;;
Ativo Não Circulante;6419035,06;JULHO;;;
Imobilizado;6419035,06;JULHO;;;
Imobilizado em Operação;1903010,06;JULHO;;;
Vacas para Reprodução;1364000,00;JULHO;;;
Novilhas para Reprodução;420800,00;JULHO;;;
Bezerras - 0 a 12 Meses - Fazenda Escarlata;78210,06;JULHO;;;
Touros;40000,00;JULHO;;;
Maquinas e Equipamentos;519750,00;JULHO;;;
Ensiladeira FTN Area total ano 2022;77000,00;JULHO;;;
Silonog Nogueira ano 2022;92750,00;JULHO;;;
Vagão Forrageiro Nogueira ano 2022;100000,00;JULHO;;;
Trator MF 290 Ano 2005 4x2;100000,00;JULHO;;;
Trator John Deere 5078 E 2012 4x4;150000,00;JULHO;;;
Imóveis;4500000,00;JULHO;;;
Fazenda Escarlata;1500000,00;JULHO;;;
Fazenda Arianus II;3000000,00;JULHO;;;
Depreciação Acumulada;-503725,00;JULHO;;;
(-) Deprec. Vacas para Reprodução;-172800,00;JULHO;;;
(-) Deprec. Touros;;JULHO;;;
(-) Deprec. Cavalos;;JULHO;;;
(-) Deprec. Maquinas e Equipamentos;-330925,00;JULHO;;;
;;JULHO;;;
Passivo Total;7836413,04;JULHO;;;
Passivo Circulante;170105,69;JULHO;;;
Fornecedores;15210,00;JULHO;;;
Fornecedores de Mercadorias;6210,00;JULHO;;;
Fornecedores de Serviços;9000,00;JULHO;;;
Obrigaçoes Trabalhistas;14115,52;JULHO;;;
Salarios a Pagar;;JULHO;;;
Inss a Pagar;325,40;JULHO;;;
Fgts a Pagar;485,76;JULHO;;;
Férias a Pagar;9107,96;JULHO;;;
Fgts s/Férias a Pagar;674,64;JULHO;;;
13 Salario a Pagar;3278,88;JULHO;;;
Fgts s/13 Salario a Pagar;242,88;JULHO;;;
Dividendos a Pagar;;JULHO;;;
Obrigaçoes Tributarias;27530,17;JULHO;;;
Simples Nacional a Pagar;15940,87;JULHO;;;
Parcelamentos Federais a Pagar;11589,30;JULHO;;;
Emprestimo e Financiamentos;113250,00;JULHO;;;
Emprestimo Banco do Nordeste;113250,00;JULHO;;;
Emprestimo Bradesco;;JULHO;;;
Passivo Não Circulante;133423,16;JULHO;;;
Emprestimo e Financiamentos;107025,00;JULHO;;;
Emprestimo Banco do Nordeste;107025,00;JULHO;;;
Emprestimo Bradesco;;JULHO;;;
Parcelamentos Impostos;26398,16;JULHO;;;
Parcelamentos Federais a Pagar;26398,16;JULHO;;;
Patrimonio Liquido;7532884,19;JULHO;;;
Capital Social Bela Vista Agropecuaria;200000,00;JULHO;;;
Lucro do Periodo;581457,70;JULHO;;;
Prejuizo do Periodo;;JULHO;;;
Lucros e Prejuizos Acumulados;2251426,49;JULHO;;;
Patrimonio Disponível;4500000,00;JULHO;;;
;;JULHO;;;
RECEITA COM VENDAS;1097191,60;JULHO;;;
;;JULHO;;;
SIMPLES NACIONAL;50000,00;JULHO;;;
;;JULHO;;;
RECEITA LIQUIDA DE VENDAS;1047191,60;JULHO;;;
;;JULHO;;;
CUSTOS DAS MERCADORIAS VENDIDA;63523,47;JULHO;;;
;;JULHO;;;
REMEDIOS;13367,60;JULHO;;;
NUTRIÇÃO ANIMAL;23321,78;JULHO;;;
VETERINARIO;2200,00;JULHO;;;
DESPESA COM ESTAÇÃO DE MONTA;10056,00;JULHO;;;
REPRODUÇÃO ANIMAL;14578,09;JULHO;;;
;;JULHO;;;
LUCRO BRUTO;983668,13;JULHO;;;
;;JULHO;;;
DESPESAS OPERACIONAIS;289910,97;JULHO;;;
;;JULHO;;;
DESPESA COM PESSOAL;68897,77;JULHO;;;
;;JULHO;;;
SALARIOS;60484,00;JULHO;;;
FGTS;2970,24;JULHO;;;
FÉRIAS;;JULHO;;;
FGTS S/FÉRIAS;;JULHO;;;
13 SALARIO;5040,31;JULHO;;;
FGTS S/13 SALARIO;403,22;JULHO;;;
;;JULHO;;;
DESPESAS ADMINISTRATIVAS;86057,69;JULHO;;;
;;JULHO;;;
PLANO DE SAUDE;16849,20;JULHO;;;
COMBUSTIVEIS;19405,65;JULHO;;;
MANUTENÇÃO DE VEICULOS;3610,00;JULHO;;;
MANUTENÇAO DE MAQUINAS E EQUIPAMENTOS;18157,25;JULHO;;;
VIAGENS E ESTADIAS;2576,92;JULHO;;;
HONORARIOS CONTABEIS;14000,00;JULHO;;;
ENERGIA ELETRICA;5227,92;JULHO;;;
TELEFONIA E INTERNET;1853,10;JULHO;;;
BENS DE PEQUENO VALOR;975,00;JULHO;;;
IMPOSTOS E TAXAS;802,65;JULHO;;;
FRETES;2600,00;JULHO;;;
;;JULHO;;;
DESPESAS COM MANUTENÇAO DA FAZENDA;133707,84;JULHO;;;
;;JULHO;;;
SERVIÇOS DE TERCEIROS;6300,00;JULHO;;;
INSTALAÇAO E MANUTENÇÃO DE CERCAS;21288,55;JULHO;;;
FORMAÇÃO,MANUTENÇÃO E RECUPERAÇÃO DE PASTAGEM;66174,00;JULHO;;;
PRODUÇÃO SILAGEM;29132,29;JULHO;;;
EDIFICIOS E CONSTRUÇOES;10813,00;JULHO;;;
;;JULHO;;;
DESPESAS FINANCEIRAS;1247,67;JULHO;;;
;;JULHO;;;
DESPESAS BANCARIAS;1247,67;JULHO;;;
JUROS PAGOS;0,00;JULHO;;;
JUROS S/EMPRESTIMOS E FINANCIAMENTOS;0,00;JULHO;;;
;;JULHO;;;
LUCRO LIQUIDO DO PERIODO;693757,16;JULHO;;;
Ativo Total;7838320,31;AGOSTO;;;
Ativo Circulante;1419285,25;AGOSTO;;;
Caixa;0,00;AGOSTO;;;
Caixa Administrativo;0,00;AGOSTO;;;
Banco c/Movimento;21344,78;AGOSTO;;;
Banco Bradesco;3844,48;AGOSTO;;;
Banco do Nordeste;17500,30;AGOSTO;;;
Aplicação Financeira;614898,70;AGOSTO;;;
Banco Bradesco;614898,70;AGOSTO;;;
Banco do Nordeste;0,00;AGOSTO;;;
Contas a Receber;0,00;AGOSTO;;;
Cliente A;;AGOSTO;;;
Cliente B;;AGOSTO;;;
Cliente C;;AGOSTO;;;
Cliente D;;AGOSTO;;;
Estoque para Venda;771917,72;AGOSTO;;;
Bezerros - 0 a 12 Meses - Fazenda Escarlata;99899,92;AGOSTO;;;
Novilhos - 13 a 24 meses - Fazenda Escarlata;;AGOSTO;;;
Bezerras - 0 a 12 Meses - Fazenda Escarlata;;AGOSTO;;;
Novilhas - 13 a 24 meses - Fazenda Escarlata;;AGOSTO;;;
Vacas para Venda - Fazenda Escarlata;;AGOSTO;;;
Vacas para Venda - Fazenda Arianus II;636000,00;AGOSTO;;;
Bezerros - 0 a 12 Meses - Fazenda Arianus II;18523,44;AGOSTO;;;
Bezerras - 0 a 12 Meses - Fazenda Arianus II;17494,36;AGOSTO;;;
Estoque Operacional;0,00;AGOSTO;;;
Raçoes;;AGOSTO;;;
Medicamentos Veterinários;;AGOSTO;;;
Reproducao Animal;;AGOSTO;;;
Herbicidas;;AGOSTO;;;
Sementes;;AGOSTO;;;
Consorcio a Receber;11124,05;AGOSTO;;;
Consorcio Nacional Valtra;11124,05;AGOSTO;;;
Ativo Não Circulante;6419035,06;AGOSTO;;;
Imobilizado;6419035,06;AGOSTO;;;
Imobilizado em Operação;1903010,06;AGOSTO;;;
Vacas para Reprodução;1364000,00;AGOSTO;;;
Novilhas para Reprodução;420800,00;AGOSTO;;;
Bezerras - 0 a 12 Meses - Fazenda Escarlata;78210,06;AGOSTO;;;
Touros;40000,00;AGOSTO;;;
Maquinas e Equipamentos;519750,00;AGOSTO;;;
Ensiladeira FTN Area total ano 2022;77000,00;AGOSTO;;;
Silonog Nogueira ano 2022;92750,00;AGOSTO;;;
Vagão Forrageiro Nogueira ano 2022;100000,00;AGOSTO;;;
Trator MF 290 Ano 2005 4x2;100000,00;AGOSTO;;;
